Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Gwangyang,127.753423,34.9017527,KHAO,1,0.234,0.465,26.781,0.202,355.071,0.128,18.498,0.19,48.117,0.13,24.4,0.061,44.163,0.025,7.617
Heuksando,125.4357473,34.6851736,KHAO,1.066,137.864,0.366,175.653,0.213,119.821,0.102,171.695,0.238,121.866,0.19,98.975,0.075,118.594,0.039,81.816
Incheon,126.590476,37.4508531,KHAO,2.853,229.4,1.141,277.501,0.512,214.328,0.32,272.328,0.392,167.844,0.292,138.364,0.113,163.49,0.056,118.312
Incheon (Songdo),126.586854,37.3361496,KHAO,2.782,227.096,1.11,275.03,0.501,212.486,0.305,270.239,0.391,166.759,0.289,137.419,0.115,161.204,0.057,115.468
Janghang,126.6888853,36.0055379,KHAO,2.241,187.548,0.867,232.387,0.413,172.025,0.242,228.199,0.348,147.311,0.265,119.198,0.104,142.25,0.053,99.146
Jeju,126.5418338,33.5297744,KHAO,0.677,54.172,0.277,73.648,0.154,43.761,0.074,67.694,0.228,84.891,0.17,64.066,0.074,80.427,0.035,48.86
Jindo,126.308857,34.3776222,KHAO,1.073,68.591,0.414,92.983,0.229,55.607,0.111,88.094,0.291,83.875,0.221,60.281,0.09,78.664,0.044,43.388
Masan,128.5888151,35.208347,KHAO,0.589,343.781,0.277,11.301,0.115,339.095,0.079,2.871,0.08,27.403,0.044,3.994,0.026,28.899,0.008,352.719
Mokpo,126.3756976,34.7787643,KHAO,1.423,137.028,0.485,177.746,0.283,122.188,0.136,173.441,0.305,116.971,0.238,92.339,0.092,114.576,0.047,76.072
Moseulpo,126.2506366,33.2134089,KHAO,0.719,42.637,0.302,64.992,0.157,33.96,0.08,59.087,0.241,82.968,0.183,62.398,0.078,79.281,0.038,47.756
Pyeongtaek,126.8202374,36.9686209,KHAO,2.868,226.42,1.152,274.69,0.515,211.556,0.323,269.733,0.393,166.491,0.292,137.125,0.113,162.824,0.055,117.486
Seocheon,126.4943089,36.1273294,KHAO,2.164,184.839,0.835,228.39,0.403,168.58,0.229,224.268,0.351,145.43,0.268,117.146,0.108,139.284,0.054,95.214
Seogwipo,126.561114,33.2391255,KHAO,0.737,22.172,0.329,45.889,0.158,15.276,0.089,39.017,0.241,75.271,0.18,53.653,0.078,70.585,0.037,39.12
Seongsanpo,126.9279841,33.474736,KHAO,0.636,20.754,0.292,42.854,0.14,15.782,0.078,35.271,0.215,75.981,0.159,55.274,0.071,72.342,0.033,40.77
Taean,126.2337754,36.9122338,KHAO,2.325,213.976,0.921,259.534,0.426,198.641,0.254,255.205,0.372,160.427,0.28,131.311,0.111,154.39,0.055,109.332
